gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
40,482,[0.26375647 0.00998307],[1.10010319 0.01781203],[1.65080371e-01 1.85248666e-05],[0.16363375 0.0056967 ],100.0,100.0,44339866.51398651,38506908.55722301,0.009983071867408135,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.836402482808051,38506908.55722301,1.8524866575831103e-05,35
41,488,[0.26283091 0.0099027 ],[1.10010319 0.01781203],[1.64262117e-01 1.85248666e-05],[0.16302335 0.00558294],100.0,100.0,44277028.3302868,38370685.70506505,0.009902699710097267,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.838445560434478,38370685.70506505,1.8524866575831103e-05,37
42,481,[0.26103329 0.00997304],[1.10010319 0.01778444],[1.64085491e-01 1.85248666e-05],[0.16379926 0.00562092],100.0,100.0,44169635.96545122,38370685.70506505,0.00997304056580903,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.83889169055204,38370685.70506505,1.8524866575831103e-05,31
43,483,[0.2597324  0.00998172],[1.10010319 0.01856094],[1.64085491e-01 1.85248666e-05],[0.16411541 0.00558752],100.0,100.0,44091857.10529625,38356881.282924265,0.009981717403558245,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.838899679002559,38356881.282924265,1.8524866575831103e-05,35
44,485,[0.25957038 0.0099766 ],[1.10010319 0.01856094],[1.62909855e-01 1.85248666e-05],[0.16433599 0.00560632],100.0,100.0,44080021.21317175,38356881.282924265,0.00997660233366364,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.841831759417846,38371396.1689112,1.8524866575831103e-05,29
45,485,[0.25928312 0.00992994],[1.10010319 0.01856094],[1.60411406e-01 1.85248666e-05],[0.16451521 0.00558535],100.0,100.0,44059203.64865788,38164777.129942566,0.009929940726840635,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.848040739049703,38164777.129942566,1.8524866575831103e-05,34
46,486,[0.25727792 0.01002465],[1.10010319 0.01829548],[1.55196272e-01 1.85248666e-05],[0.16534569 0.00564792],100.0,100.0,43941898.17013799,37896960.302793734,0.010024649700867787,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.860994610622516,37896960.302793734,1.8524866575831103e-05,40
47,487,[0.25505871 0.01006356],[1.10010319 0.01704109],[1.53329499e-01 1.85248666e-05],[0.16599051 0.00565759],100.0,100.0,43807916.93066612,37744567.4096456,0.010063559777062792,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.865654757167999,37744567.4096456,1.8524866575831103e-05,40
48,489,[0.25458571 0.00997727],[1.10010319 0.01704109],[1.52960950e-01 1.85248666e-05],[0.16618852 0.00558545],100.0,100.0,43775535.6892605,37708997.23806474,0.009977268898989622,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.866583426759458,37708997.23806474,1.8524866575831103e-05,36
49,480,[0.2544714  0.00991813],[1.10010319 0.01704109],[1.52960950e-01 1.85248666e-05],[0.1663933  0.00555762],100.0,100.0,43765714.89004814,37708997.23806474,0.00991813165120209,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.866591080596242,37708997.23806474,1.8524866575831103e-05,35
50,491,[0.25440413 0.00985427],[1.10010319 0.01717558],[1.48544909e-01 1.85248666e-05],[0.16651233 0.00553461],100.0,100.0,43756379.243945725,37485951.87712799,0.009854271418087866,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.877561723470647,37485951.87712799,1.8524866575831103e-05,36
