gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
36,484,[0.26949271 0.01062355],[1.13429637 0.01934135],[1.74050981e-01 1.65300408e-05],[0.16119998 0.00772916],100.0,100.0,44567883.447204396,38755876.36329186,0.010623545529912352,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.814292477617925,38755876.36329186,1.65300407968806e-05,20
37,491,[0.2670376  0.01080855],[1.13429637 0.01943625],[1.67951130e-01 1.65300408e-05],[0.16200841 0.00765868],100.0,100.0,44423006.16268439,38367632.104864985,0.010808552636496082,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.829430221286225,38367632.104864985,1.65300407968806e-05,20
38,484,[0.26663931 0.01053584],[1.13429637 0.01943625],[1.67951130e-01 1.65300408e-05],[0.1622739  0.00758623],100.0,100.0,44392465.14267689,38367632.104864985,0.01053583775131447,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.829459369665755,38367632.104864985,1.65300407968806e-05,24
39,484,[0.26589124 0.01032164],[1.13429637 0.01943625],[1.66649687e-01 1.65300408e-05],[0.1626285  0.00757663],100.0,100.0,44348996.73665918,38367632.104864985,0.010321642394669747,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.8327007309902745,38533834.637283556,1.65300407968806e-05,23
40,482,[0.2628064  0.01037585],[1.13429637 0.01943625],[1.66649687e-01 1.65300408e-05],[0.16119159 0.00758077],100.0,100.0,44167901.85444095,38334427.72858486,0.010375851405513736,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.832715274076146,38533834.637283556,1.65300407968806e-05,21
41,481,[0.25676872 0.01090111],[1.13429637 0.01943625],[1.63865707e-01 1.65300408e-05],[0.16195808 0.00753771],100.0,100.0,43807046.039294586,38286195.95627498,0.0109011135279902,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.839642509916982,38371321.84900225,1.65300407968806e-05,24
42,482,[0.25586524 0.0107843 ],[1.13429637 0.01943625],[1.63080288e-01 1.65300408e-05],[0.16270585 0.00753859],100.0,100.0,43758751.8555783,38134458.49505744,0.010784302646692693,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.841740827419951,38266095.70222739,1.65300407968806e-05,21
43,482,[0.25380989 0.01081903],[1.13429637 0.01940575],[1.61027626e-01 1.65300408e-05],[0.16352555 0.00759908],100.0,100.0,43639221.67167876,38053178.35813383,0.010819026611777473,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.846842415608017,38053178.35813383,1.65300407968806e-05,25
44,481,[0.24785463 0.01114898],[1.13429637 0.01945022],[1.58783495e-01 1.65300408e-05],[0.1624374  0.00737594],100.0,100.0,43279583.28850319,37994909.475382395,0.011148979405897982,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.852618338099669,37994909.475382395,1.65300407968806e-05,12
45,486,[0.24822219 0.01081761],[1.13429637 0.01932245],[1.58250858e-01 1.65300408e-05],[0.16298768 0.00737732],100.0,100.0,43306023.946970396,37801808.25703716,0.010817613030816006,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.853990613669987,37905997.85055371,1.65300407968806e-05,13
46,485,[0.24682054 0.01073952],[1.13429637 0.01939341],[1.52607195e-01 1.65300408e-05],[0.16343601 0.00731366],100.0,100.0,43219324.63156262,37584780.46964391,0.010739521712648796,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.86799559855405,37584780.46964391,1.65300407968806e-05,16
47,485,[0.2463117  0.01058328],[1.13429637 0.01931694],[1.52289503e-01 1.65300408e-05],[0.16374475 0.00728242],100.0,100.0,43190406.13304832,37575726.46167581,0.010583280986391538,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.868795071578028,37575726.46167581,1.65300407968806e-05,18
48,483,[0.24714143 0.01020316],[1.13429637 0.01900406],[1.49968039e-01 1.65300408e-05],[0.16371105 0.00714714],100.0,100.0,43235322.55422483,37355956.535772,0.010203161434394013,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.874567868302496,37355956.535772,1.65300407968806e-05,22
49,482,[0.24557924 0.01006707],[1.13429637 0.01895681],[1.45737495e-01 1.65300408e-05],[0.16485363 0.0071946 ],100.0,100.0,43145104.785386555,37218882.70623494,0.010067070068104141,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.885187653120427,37218882.70623494,1.65300407968806e-05,19
50,482,[0.23251624 0.01127008],[1.13429637 0.01896962],[1.43896116e-01 1.65300408e-05],[0.16368508 0.00703604],100.0,100.0,42362691.755322374,37090346.83904692,0.011270081960189785,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.889766837294554,37090346.83904692,1.65300407968806e-05,21
51,486,[0.23127054 0.01117111],[1.13429637 0.01896962],[1.42288316e-01 1.65300408e-05],[0.16420876 0.00702924],100.0,100.0,42286677.37029955,36977903.8781055,0.011171112616974128,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.8937673377048245,36977903.8781055,1.65300407968806e-05,22
52,479,[0.2303943  0.01107437],[1.13429637 0.01896962],[1.40968444e-01 1.65300408e-05],[0.16465423 0.00703989],100.0,100.0,42228282.58645605,36973729.52834001,0.011074374545455287,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.8970566238514275,36973729.52834001,1.65300407968806e-05,22
53,492,[0.22868177 0.01107307],[1.13429637 0.01895681],[1.40968444e-01 1.65300408e-05],[0.16521785 0.00711047],100.0,100.0,42123683.34668085,36970994.136908434,0.01107307202650001,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.897059639203748,36970994.136908434,1.65300407968806e-05,25
54,488,[0.22766645 0.0109977 ],[1.13429637 0.01895556],[1.37948972e-01 1.65300408e-05],[0.16565582 0.00710542],100.0,100.0,42055930.43143115,36682103.9201787,0.010997698883017111,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.904565328487801,36682103.9201787,1.65300407968806e-05,28
55,484,[0.22587557 0.01106463],[1.13429637 0.01895556],[1.37085485e-01 1.65300408e-05],[0.16621842 0.0070365 ],100.0,100.0,41948378.93235798,36639463.11269328,0.011064627814218717,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.906717091718295,36639463.11269328,1.65300407968806e-05,26
56,492,[0.2250512  0.01097608],[1.13429637 0.01895556],[1.37085485e-01 1.65300408e-05],[0.1665014  0.00699548],100.0,100.0,41894224.292128146,36621205.39246523,0.010976076868384343,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.906718699806749,36621205.39246523,1.65300407968806e-05,32
57,488,[0.22420838 0.01088213],[1.13429637 0.01889684],[1.37085485e-01 1.65300408e-05],[0.16716017 0.0070651 ],100.0,100.0,41844529.55410056,36621205.39246523,0.010882125199036245,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.906826668947128,36621205.39246523,1.65300407968806e-05,28
58,477,[0.22445458 0.01069702],[1.13429637 0.01889661],[1.35930724e-01 1.65300408e-05],[0.16729433 0.00700575],100.0,100.0,41851996.31442216,36599632.881154045,0.010697018279098532,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.909699074618786,36599632.881154045,1.65300407968806e-05,30
59,494,[0.22420491 0.01057698],[1.13429637 0.01894829],[1.33883926e-01 1.65300408e-05],[0.16745823 0.00697683],100.0,100.0,41836234.42327142,36423718.8641709,0.01057698114602063,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.914789082609413,36423718.8641709,1.65300407968806e-05,31
60,488,[0.22296269 0.01047773],[1.13429637 0.01890975],[1.33883926e-01 1.65300408e-05],[0.16790116 0.00702239],100.0,100.0,41758706.62436557,36423718.8641709,0.010477729293245221,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.9147993934473,36423718.8641709,1.65300407968806e-05,27
61,482,[0.22264525 0.01032675],[1.13429637 0.01892809],[1.33883926e-01 1.65300408e-05],[0.16803019 0.00701146],100.0,100.0,41738573.57921219,36423718.8641709,0.010326750636575127,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.914809196784559,36423718.8641709,1.65300407968806e-05,25
62,488,[0.22215421 0.01025848],[1.13429637 0.01892809],[1.30580394e-01 1.65300408e-05],[0.16827511 0.00703502],100.0,100.0,41705438.76236775,36186347.55850463,0.010258483918903443,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.923013660614546,36186347.55850463,1.65300407968806e-05,28
63,484,[0.2225013  0.01005022],[1.13429637 0.01892842],[1.30580394e-01 1.65300408e-05],[0.16820644 0.00695531],100.0,100.0,41716488.565714,36186347.55850463,0.010050221368938118,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.923018629400278,36186347.55850463,1.65300407968806e-05,28
64,495,[0.22144452 0.01004127],[1.13429637 0.01892842],[1.30580394e-01 1.65300408e-05],[0.16846242 0.00684662],100.0,100.0,41648508.53825476,36186347.55850463,0.010041273569127344,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.923028080197492,36186347.55850463,1.65300407968806e-05,25
65,487,[0.22024806 0.01004997],[1.13429637 0.01892789],[1.30580394e-01 1.65300408e-05],[0.16868614 0.00688795],100.0,100.0,41571712.83649321,36186347.55850463,0.010049968292424506,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.923029172381031,36186347.55850463,1.65300407968806e-05,29
