name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
127,300,539,650,357.7462011,420.8778837,0.010453294,0.005095472,539.9646465,13.0,100,30,400,51598.39652,141.3319506,4.837626504,16,40,4,9,3,5,2
128,500,467,550,357.8267682,420.9726685,0.008163779,0.003941428,289.7013407,10.0,150,24,400,51278.66268,156.6969643,6.675550157,16,40,8,10,2,5,1
129,400,467,550,359.8004041,423.2945931,0.010746338,0.005194732,268.042536,10.0,150,27,400,47231.63808,137.5690192,5.383116587,16,40,6,10,2,5,1
130,500,479,550,360.6976907,424.3502243,0.005889267,0.002687917,287.7403434,10.0,200,24,500,43201.98022,140.7794501,6.620120964,22,50,7,4,1,2,1
131,400,517,600,360.9360946,424.6306995,0.008762268,0.004212729,248.4538748,10.0,200,24,400,45227.60773,137.6561469,5.82928989,16,40,6,9,2,5,1
132,300,551,650,361.3385566,425.1041842,0.008261319,0.003432085,269.6483949,10.0,200,27,500,35242.81757,108.9010767,4.725915774,22,50,3,4,2,2,1
133,300,592,700,364.0189223,428.2575557,0.009862167,0.004075021,294.7396297,10.0,150,24,400,42937.87221,127.1173366,5.123607552,16,40,4,9,3,4,1
134,400,467,550,364.063258,428.3097152,0.008352753,0.003785431,265.4360705,10.0,200,30,500,40088.4427,123.4967045,5.334078908,16,40,6,8,2,4,1
135,400,464,550,364.0880719,428.3389081,0.011337049,0.004992574,305.3140833,13.0,200,27,400,49380.53772,141.8346898,5.397781106,16,40,6,11,2,5,1
136,500,426,500,365.4300168,429.9176668,0.009446038,0.00453482,307.9794244,13.0,200,27,400,51474.04688,152.0353864,6.10198487,22,50,7,5,1,3,1
137,500,439,500,365.9879341,430.5740402,0.007357005,0.003441323,579.5904957,13.0,100,27,500,55921.44449,161.0077318,6.131943941,16,40,8,8,1,4,1
138,300,601,700,366.5109119,431.1893081,0.009000046,0.003885739,204.8156094,10.0,300,24,400,38140.29645,117.6006699,5.09084961,22,50,3,5,2,2,1
139,400,529,600,367.3533234,432.1803804,0.007870549,0.003925503,229.2921582,10.0,250,24,400,42540.10567,132.3456046,5.810883957,22,50,5,5,1,3,1
140,400,514,600,367.9132001,432.8390589,0.007308819,0.003074128,330.5769634,13.0,250,24,500,42788.77666,132.913011,5.812380732,16,40,6,8,2,4,1
141,300,601,700,367.9274283,432.8557979,0.008735912,0.003639527,211.5131445,10.0,300,27,400,37425.33766,116.1963786,5.085930058,22,50,3,5,2,2,1
142,300,601,700,368.6943029,433.7580034,0.006681299,0.002991518,294.1173963,10.0,200,27,500,35283.24994,112.0314704,5.071075302,22,50,3,4,2,2,1
143,300,551,650,368.8017473,433.8844086,0.010582468,0.004839816,211.2265526,10.0,250,27,400,39107.31278,116.4676523,4.752571784,22,50,3,5,2,3,1
144,300,567,650,370.8138775,436.2516206,0.008064142,0.003292078,339.1198881,10.0,150,30,500,37103.45001,112.6039816,4.738587435,16,40,4,7,2,3,1
145,400,517,600,371.958697,437.5984671,0.009465684,0.00411178,224.0908238,10.0,250,24,400,45159.89171,137.4963743,5.828896576,16,40,6,10,2,5,1
146,400,529,600,373.6449237,439.5822631,0.006793042,0.002786192,337.3158216,10.0,150,24,500,41525.92575,130.4215775,5.803721034,22,50,5,4,1,2,1
147,300,592,700,374.0060853,440.0071592,0.009708523,0.00415865,301.3368689,10.0,150,27,400,42841.25372,126.9275627,5.122942731,16,40,4,9,3,4,1
148,500,442,500,374.5419943,440.6376403,0.007099369,0.003517366,281.4881021,10.0,200,30,500,43409.65389,136.1140745,6.046716043,16,40,8,8,1,4,1
149,400,479,550,375.068013,441.2564859,0.007698128,0.00360242,319.2824127,10.0,150,30,500,40588.86343,124.5130691,5.337431456,22,50,5,4,1,2,1
150,300,648,750,375.410099,441.65894,0.007645552,0.003254162,463.0872962,13.0,150,24,400,46272.63749,136.8370726,5.49111278,22,50,3,4,2,2,1
151,300,539,650,375.8740961,442.204819,0.011370331,0.005329778,325.3365342,13.0,200,30,400,44813.55953,127.7927416,4.791518016,16,40,4,10,3,5,2
152,400,517,600,375.9677778,442.3150327,0.007177623,0.003062996,286.5896091,10.0,200,27,500,40833.90931,129.0262333,5.799057343,16,40,6,8,2,4,1
153,500,467,550,376.170201,442.5531776,0.008939737,0.004098764,363.0575291,10.0,100,24,400,56630.05618,167.3024782,6.712115976,16,40,8,11,2,5,1
154,400,476,550,376.2729306,442.674036,0.010127405,0.00496393,313.2101372,13.0,200,27,400,47740.8549,138.6033245,5.386527858,22,50,5,5,1,3,1
155,400,567,650,376.7755902,443.2654003,0.005730173,0.002761751,272.482296,10.0,250,24,500,40154.52232,131.728765,6.254308476,16,40,6,7,2,4,1
156,500,492,550,377.6100187,444.2470808,0.006020093,0.002917995,440.4555415,10.0,100,24,500,50058.80864,154.3955162,6.666899957,16,40,8,7,1,4,1
157,300,564,650,377.8597872,444.5409262,0.008274034,0.00378482,484.2036805,13.0,150,27,500,42428.77282,123.179554,4.774916161,16,40,4,7,2,4,1
158,300,614,700,378.4903492,445.2827637,0.008735553,0.003951363,315.2357115,13.0,250,27,400,41959.84006,125.1988262,5.116871044,16,40,4,8,2,4,1
159,500,417,500,379.2293286,446.1521513,0.011529375,0.004630476,273.7546052,10.0,150,30,400,53084.90556,155.1624008,6.113169311,16,40,8,12,2,5,1
160,400,498,600,380.0485284,447.1159157,0.009874541,0.004540112,386.3873101,13.0,150,24,400,52624.88532,152.3389449,5.87977353,22,50,5,6,2,3,1
161,500,429,500,381.6354151,448.9828414,0.008325721,0.003469307,265.6727664,10.0,200,27,500,44590.6603,138.4273833,6.054859709,22,50,7,5,1,2,1
162,400,517,600,381.9725926,449.3795207,0.009217814,0.004212333,377.9510504,10.0,100,27,400,51137.87512,149.3986787,5.869594613,16,40,6,10,2,5,1
163,300,551,650,382.7533558,450.2980656,0.010410753,0.005075117,242.9994899,10.0,200,30,400,40113.78833,118.4684281,4.759432379,22,50,3,5,2,3,1
164,500,464,550,383.0918908,450.6963422,0.007286394,0.003181555,450.009317,13.0,150,24,500,53234.39861,160.6687976,6.688653358,16,40,8,9,2,4,1
165,500,414,500,383.7026189,451.4148458,0.009066422,0.003837526,416.4790513,13.0,150,30,500,52424.404,153.9882036,6.108290362,16,40,8,10,2,4,1
166,300,639,750,385.9341456,454.0401713,0.008618034,0.003727933,371.8395951,13.0,200,24,400,45662.77033,135.5736752,5.487094144,16,40,4,9,3,4,1
167,500,429,500,387.6548039,456.0644751,0.007881824,0.003612069,273.2090403,10.0,200,30,500,44088.77075,137.4415934,6.051406263,22,50,7,5,1,2,1
168,300,667,750,388.0886994,456.5749405,0.007984591,0.003353451,248.2622624,10.0,250,24,400,40017.87441,124.3600066,5.448594703,16,40,4,8,2,4,1
169,400,464,550,388.5514119,457.1193081,0.009138769,0.004179154,588.9800012,13.0,100,30,500,53268.72182,149.6844177,5.42395805,16,40,6,9,2,4,1
170,400,479,550,388.7524221,457.3557907,0.010252689,0.004817421,356.9029847,10.0,100,30,400,49283.41843,141.6702061,5.397041546,22,50,5,5,1,3,1
171,300,679,750,389.11793,457.7858,0.005732646,0.002313183,258.0616034,10.0,300,24,500,34228.24106,112.9651015,5.408819718,22,50,3,3,1,2,1
172,500,429,500,390.280044,459.1529929,0.010577442,0.004811051,240.4025805,10.0,200,27,400,50579.7628,150.190921,6.096070053,22,50,7,6,1,3,1
