name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
400,500,489,550,415.6677386,489.0208689,0.006571836,0.003213907,483.3378565,13,150,27,500,52955.06654,160.1201455,6.686731306,16,40,8,8,1,4,1
401,400,567,650,416.1978072,489.644479,0.006723346,0.00298558,305.8813529,10,200,24,500,43396.60342,138.1250823,6.276539916,16,40,6,8,2,4,1
402,400,517,600,416.724763,490.264427,0.009966454,0.004574132,304.0066213,10,150,30,400,49469.55697,146.0326142,5.858357213,16,40,6,10,2,5,1
403,500,529,600,417.2191198,490.8460233,0.005858609,0.002368657,473.5792306,10,100,24,500,52006.06652,163.2951091,7.255128398,22,50,7,4,1,2,1
404,400,579,650,417.3770054,491.031771,0.007785588,0.003530398,250.9643849,10,250,24,400,45355.93441,141.9400564,6.290112645,22,50,5,5,1,3,1
405,300,651,750,417.592012,491.28472,0.008916248,0.003723714,242.3069457,10,250,24,400,41373.35782,127.0172903,5.457935468,22,50,3,5,2,2,1
406,300,617,700,417.9265153,491.6782533,0.007462277,0.003709991,483.6689768,1.00E+01,100,27,500,43226.08905,127.7726654,5.12534863,16,40,4,7,2,4,1
407,500,464,550,419.070039,493.0235753,0.0077831,0.003172725,389.7937256,13,200,30,500,51022.75041,156.2448896,6.673652015,16,40,8,9,2,4,1
408,300,648,750,419.3578759,493.362207,0.006731843,0.00276141,771.3454314,13,100,27,500,50052.56918,144.4140386,5.51670803,22,50,3,4,2,2,1
409,500,426,500,420.2736722,494.4396143,0.008917075,0.004071063,357.8709636,13,200,30,500,49831.08586,148.808353,6.090679839,22,50,7,5,1,3,1
410,400,564,650,420.7277264,494.9737958,0.007033819,0.002844098,512.4562782,13,150,24,500,50479.57334,152.2148766,6.32479478,16,40,6,8,2,4,1
411,500,476,550,420.7527113,495.0031898,0.0087076,0.004139658,344.1272441,13,200,27,400,54614.48252,163.2888446,6.698395548,22,50,7,6,1,3,1
412,300,642,750,421.3064907,495.6546949,0.009444214,0.003903467,427.6327421,10,100,27,400,48949.20013,142.072699,5.509588417,16,40,4,10,3,4,1
413,300,651,750,421.6338938,496.0398751,0.006324878,0.003146779,280.2393323,10,250,27,500,36565.51496,117.573932,5.424853239,22,50,3,4,2,2,1
414,300,564,650,422.5294856,497.0935125,0.009045716,0.004450469,396.5721134,13,200,30,500,41574.61135,121.4309388,4.769231177,16,40,4,8,2,4,1
415,300,714,800,422.5410761,497.1071483,0.005591178,0.002598824,605.0244496,13,150,24,500,45889.98633,139.1608097,5.833295056,16,40,4,6,2,3,1
416,500,476,550,423.098369,497.762787,0.009056128,0.003989846,533.6689537,13,100,27,400,63838.52217,181.6351868,6.761244077,22,50,7,6,1,3,1
417,300,648,750,423.4804916,498.2123431,0.006479929,0.003084634,384.2980749,13,250,27,500,39532.40627,123.4761308,5.445065233,22,50,3,4,2,2,1
418,500,429,500,423.5666564,498.3137134,0.009043324,0.004000428,273.2090403,10,200,30,500,46671.86509,142.5151963,6.069180246,22,50,7,5,1,3,1
419,400,526,600,423.6303156,498.3886066,0.00740111,0.003479198,398.47325,13,200,27,500,45322.80178,137.9247008,5.829723552,22,50,5,4,1,2,1
420,300,648,750,424.0103081,498.8356566,0.006844454,0.002790528,448.8059676,13,200,27,500,41410.08596,127.2099646,5.457861125,22,50,3,4,2,2,1
421,400,548,650,424.2069357,499.0669832,0.00879622,0.003775262,578.7983446,13,100,27,400,59924.67187,170.9047587,6.389410377,22,50,5,6,2,3,1
422,300,664,750,424.2343108,499.0991892,0.006470852,0.002981222,790.3909976,13,100,27,500,51176.45123,146.643061,5.524382884,16,40,4,7,2,3,1
423,300,701,800,424.2363517,499.1015903,0.005850093,0.002489193,266.4229514,10,300,24,500,36525.87823,120.5263443,5.769518025,22,50,3,4,2,2,1
424,300,648,750,424.2673645,499.1380759,0.008738079,0.003616944,470.3085986,1.30E+01,150,27,400,48470.86398,141.1547346,5.50623853,22,50,3,5,2,2,1
425,300,714,800,424.3128936,499.1916395,0.005840539,0.002394434,841.9515866,13,100,24,500,52494.37749,152.3016138,5.878281256,16,40,4,7,2,3,1
426,400,526,600,425.9707923,501.1421086,0.009376261,0.004554703,415.9275461,13,150,27,400,53088.56803,153.2496906,5.882964079,22,50,5,5,1,3,1
427,400,526,600,426.0956946,501.2890524,0.007395727,0.003556669,485.7447304,13,150,27,500,48219.18263,143.6854531,5.849458383,22,50,5,4,1,2,1
