name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume
368,850,700,13887.01737,646.058856,446.2591108,0,0,22,32,0.02973689,7,7,6,6,112.0,104.4,13,450,40,400,60,25,191144.5607,496.3008311,14.99596865,140422530.4
369,1000,750,13032.11128,806.4233636,472.08977,0,0,24,29,0.021136635,7,7,7,7,137.5,95.83333333,13,400,30,400,60,25,191040.4536,527.5873254,18.55912305,141106216.6
370,900,750,13466.50417,648.2375993,455.5795933,0,0,32,25,0.023271057,8,8,10,10,107.8571429,67.22222222,10,400,35,400,50,25,180520.7719,491.622177,16.76246182,141246668.1
371,950,950,13101.53375,941.9080695,941.9080695,0,0,18,29,0.013173803,6,6,5,5,156.2,195.25,10,100,27,400,60,25,185049.3539,547.0828313,22.0235284,141725976.9
372,800,750,13481.43993,528.6615808,467.1108798,0,0,26,29,0.028622527,8,8,7,7,90.14285714,96.83333333,10,400,35,500,60,25,185476.5422,486.1298769,15.07207751,141945787.7
373,1000,750,13204.53338,884.2850727,528.6195041,0,0,20,29,0.017613863,6,6,6,6,165.0,115.0,13,350,30,500,60,25,171635.3124,489.5016239,18.42551964,142015973.9
374,1000,800,14156.37843,1401.512136,988.9512226,0,0,14,29,0.011559097,4,4,5,5,275.0,156.25,13,100,35,400,60,25,168360.1422,493.8198296,19.55101082,142158670.0
375,800,800,12846.65571,637.2363525,637.2363525,0,0,36,25,0.027611654,10,10,10,10,72.11111111,72.11111111,13,300,30,500,50,25,198232.0863,519.4454229,16.07918938,142185658.9
376,950,700,14206.23082,875.2112557,500.3253967,0,0,16,32,0.019350321,3,3,7,7,386.0,87.0,13,300,40,400,60,25,162978.3921,455.2751132,16.41144601,142248863.9
377,750,700,13959.24738,611.2648961,540.8751112,0,0,24,32,0.03676561,8,8,6,6,81.71428571,104.4,13,300,40,500,60,25,200381.1657,500.3026892,13.44981367,143411157.6
378,1000,750,14003.16766,822.4811492,475.5336154,0,0,20,25,0.013089969,6,6,6,6,171.0,121.0,10,400,35,500,50,25,141059.9627,429.3379764,18.21542946,144157800.4
379,950,800,13337.13338,1133.395712,863.111104,0,0,20,29,0.017382101,5,5,7,7,193.75,104.1666667,13,150,30,500,60,25,184422.6815,516.9564884,18.74260278,144837692.7
380,950,800,13209.98402,652.4412124,465.8438112,0,0,20,32,0.021164414,6,6,6,6,155.6,125.6,10,450,30,400,60,25,189917.7476,527.314459,18.78159462,145539815.7
381,950,700,13593.96708,811.9722206,463.6416427,0,0,26,29,0.025824836,7,7,8,8,130.1666667,75.85714286,10,200,35,400,60,25,195331.4008,518.7930455,16.63414066,146131119.7
382,1050,750,12765.16764,840.4586402,449.6349919,0,0,26,29,0.02180764,7,7,8,8,146.8333333,83.0,10,250,27,400,60,25,204132.6099,560.9054517,19.51147813,146884820.2
383,900,800,13936.13753,799.5946324,648.4928998,0,0,22,29,0.020182551,7,7,6,6,120.8333333,125.0,13,250,35,400,60,25,182679.2223,505.1897398,17.81148272,146898917.7
384,800,750,14176.45656,631.5245487,561.3402607,0,0,30,25,0.024543693,7,7,10,10,109.1666667,67.22222222,10,250,40,500,50,25,169081.3006,453.994764,14.95907995,146955020.0
