name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume,original_name
967,900,850,14842.47603,1145.60369,1048.923555,0,0,30,32,0.031539126,10,10,7,7,80.22222222,112.0,13,100,30,400,60,25,280136.9873,706.2398164,19.51543432,207074194.1,484
968,850,900,14842.47603,1048.923555,1145.60369,0,0,30,32,0.031539126,7,7,10,10,112.0,80.22222222,13,100,30,400,60,25,280136.9873,706.2398164,19.51543432,207074194.1,484
969,1000,800,14734.36938,850.8242482,571.6735614,0,0,26,32,0.026138051,7,7,8,8,137.0,88.85714286,13,350,27,500,60,25,235762.3506,625.6082613,20.01642618,213166551.9,485
970,800,1000,14734.36938,571.6735614,850.8242482,0,0,26,32,0.026138051,8,8,7,7,88.85714286,137.0,13,350,27,500,60,25,235762.3506,625.6082613,20.01642618,213166551.9,485
971,1000,850,16201.57731,800.2840119,584.2473306,0,0,24,29,0.018649972,6,6,8,8,166.2,97.28571429,10,350,35,400,60,25,196845.8882,559.2201402,20.89857638,214551207.8,486
972,850,1000,16201.57731,584.2473306,800.2840119,0,0,24,29,0.018649972,8,8,6,6,97.28571429,166.2,10,350,35,400,60,25,196845.8882,559.2201402,20.89857638,214551207.8,486
973,1100,850,15657.63338,1163.577771,746.0978659,0,0,20,29,0.014128767,4,4,8,8,310.3333333,97.28571429,10,150,30,500,60,25,191501.8419,566.1840176,22.81566657,214853972.2,487
974,850,1100,15657.63338,746.0978659,1163.577771,0,0,20,29,0.014128767,8,8,4,4,97.28571429,310.3333333,10,150,30,500,60,25,191501.8419,566.1840176,22.81566657,214853972.2,487
975,950,950,16505.07276,802.1901551,802.1901551,0,0,20,29,0.014637559,10,10,2,2,86.11111111,775.0,13,350,35,400,60,25,184728.4111,546.1788903,22.02206232,215091757.6,488
976,950,950,16505.07276,802.1901551,802.1901551,0,0,20,29,0.014637559,2,2,10,10,775.0,86.11111111,13,350,35,400,60,25,184728.4111,546.1788903,22.02206232,215091757.6,488
977,1200,800,15047.75727,1196.377153,581.2956412,0,0,18,32,0.015079645,4,4,7,7,342.6666667,104.6666667,10,200,27,500,60,25,200133.147,588.1260897,23.45012066,215213919.9,489
978,800,1200,15047.75727,581.2956412,1196.377153,0,0,18,32,0.015079645,7,7,4,4,104.6666667,342.6666667,10,200,27,500,60,25,200133.147,588.1260897,23.45012066,215213919.9,489
979,1150,800,14829.02691,1047.087333,541.3147467,0,0,40,25,0.021342341,13,13,9,9,83.25,81.125,13,350,27,400,50,25,236583.078,651.5936264,22.78121766,215557815.1,490
980,800,1150,14829.02691,541.3147467,1047.087333,0,0,40,25,0.021342341,9,9,13,13,81.125,83.25,13,350,27,400,50,25,236583.078,651.5936264,22.78121766,215557815.1,490
981,950,750,15667.6294,947.7296864,629.8201994,0,0,30,32,0.033863062,9,9,8,8,96.5,81.71428571,13,200,35,400,60,25,259682.5911,654.993568,18.16866946,216462762.0,491
982,750,950,15667.6294,629.8201994,947.7296864,0,0,30,32,0.033863062,8,8,9,9,81.71428571,96.5,13,200,35,400,60,25,259682.5911,654.993568,18.16866946,216462762.0,491
