name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume
900,1250,900,23411.25777,1534.549398,847.716348,0,0,22,29,0.012916833,5,5,8,8,268.75,103.5714286,13,300,40,500,60,25,216176.7413,653.1738027,27.35427766,479784292.3
901,1050,1000,21817.80528,930.2417136,848.1970563,0,0,36,32,0.027574208,11,11,9,9,87.8,103.5,10,250,35,400,60,25,317891.6359,837.6306095,26.32995613,487017055.6
902,1400,1000,21091.28807,1519.915978,820.9659605,0,0,36,25,0.01262247,11,11,9,9,125.5,106.875,10,250,27,500,50,25,260158.2949,795.286578,33.98029972,487426664.2
903,1050,950,22869.53628,975.9335487,806.7213333,0,0,44,25,0.021652581,12,12,12,12,82.27272727,73.18181818,10,350,40,500,50,25,253961.4817,701.34438,24.68308096,488092850.8
904,1200,850,22810.58528,1233.478549,634.6482129,0,0,38,29,0.024607602,13,13,8,8,85.91666667,97.28571429,10,300,40,400,60,25,284064.6457,765.0646143,25.40749487,488170585.7
905,1200,950,23676.45777,1204.274828,763.3196224,0,0,22,29,0.012746874,6,6,7,7,206.2,130.1666667,10,450,40,500,60,25,209342.9829,642.5866235,27.65272163,488337076.4
906,1450,1000,21294.43029,1552.766344,773.0905309,0,0,20,32,0.011093072,5,5,7,7,318,137,13,500,27,500,60,25,250190.9201,785.8100721,35.0615068,488408363.7
907,1200,950,22481.30761,1177.646261,753.7068968,0,0,30,29,0.017382101,10,10,7,7,114.5555556,130.1666667,10,350,35,500,60,25,251896.2454,726.2065567,27.945421,491040692.4
908,1200,900,23381.87676,1791.315013,1115.26605,0,0,22,32,0.016382824,6,6,7,7,204.4,120.3333333,13,150,40,500,60,25,249718.4273,710.2508256,26.54948379,491104087.1
909,1200,1000,21468.3223,1102.730155,779.5988622,0,0,28,32,0.01876578,10,10,6,6,114.2222222,165.6,10,350,30,500,60,25,277877.3545,789.414133,29.50379349,492267238.5
910,1050,1000,22143.38084,890.4927126,810.5097255,0,0,30,32,0.022978506,7,7,10,10,146.3333333,92,10,400,35,500,60,25,277049.8083,757.3243302,26.04916285,492793810.7
911,1200,1000,21453.20675,1573.560508,1166.074016,0,0,34,29,0.018714729,10,10,9,9,114.5555556,103.875,10,100,30,500,60,25,294664.4077,822.8326701,29.61809278,494121466.1
912,1150,1000,23695.23202,1318.120935,1024.635851,0,0,36,25,0.015366486,13,13,7,7,83.75,142.5,10,150,40,400,50,25,245337.2104,715.5926199,28.12957209,496438354.6
913,1200,900,23205.01691,1246.747704,718.7599679,0,0,44,25,0.019998564,12,12,12,12,95.90909091,68.63636364,10,300,40,400,50,25,262029.4283,733.9655937,26.6354588,498231116
914,1350,950,23146.69208,2265.849404,1292.825583,0,0,26,29,0.013390656,6,6,9,9,235,96.875,13,100,35,400,60,25,278966.4983,809.2208896,31.40572784,509093355.4
915,1200,900,23771.64738,1369.984802,807.7063736,0,0,24,32,0.017872172,9,9,5,5,127.75,180.5,13,350,40,500,60,25,247450.5385,705.414741,26.53491414,513494482.9
916,1250,950,23090.52968,1330.050829,795.3530179,0,0,24,32,0.01625427,10,10,4,4,119.1111111,257.3333333,13,450,35,500,60,25,254052.6436,740.1389302,29.05228695,514988805.5
917,1350,900,21435.95283,1300.657986,586.8188127,0,0,34,32,0.022505697,9,9,10,10,147.25,80.88888889,10,450,30,400,60,25,315173.898,865.677297,30.10542776,516012644.7
918,1250,950,24325.55945,1510.421734,917.4835118,0,0,28,25,0.011574289,11,11,5,5,110.5,201.25,10,200,40,500,50,25,214125.2664,661.7993911,28.77732294,516922366.3
919,1300,950,23186.58502,2396.169115,1484.924302,0,0,34,25,0.013513936,11,11,8,8,114.9,114.1428571,13,100,35,500,50,25,271198.9417,784.3226,30.26010214,517174439.3
920,1400,1000,22322.86082,1554.918818,831.0089752,0,0,24,32,0.013787104,6,6,8,8,244.4,117.4285714,13,350,30,400,60,25,274836.7359,824.1692737,34.08115951,519402718.4
921,1200,900,21464.64296,1243.344476,741.3197214,0,0,36,32,0.026808257,13,13,7,7,85.66666667,121.3333333,10,200,30,500,60,25,322831.7706,853.4854776,27.05357639,520519577.3
922,1250,900,21664.4628,1167.583551,621.4483267,0,0,34,32,0.024306153,14,14,5,5,82.92307692,182,10,400,30,500,60,25,308354.0962,834.0338914,27.9890572,521434088.7
923,1500,1000,21797.61162,1600.999399,739.0145709,0,0,32,25,0.010471976,7,7,11,11,225.8333333,85.5,10,400,27,500,50,25,249141.0565,793.8365434,36.20410796,521973496.7
924,1350,1000,21291.11944,1777.322098,1077.158993,0,0,40,29,0.019570959,10,10,12,12,130.5555556,75,13,150,27,400,60,25,342603.0548,947.5547835,33.39662178,527590586.2
