gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,max_cost,min_cost,std_cost,avg_co2,max_co2,min_co2,std_co2,avg_dcr,max_dcr,min_dcr,std_dcr,best_margins,min_AM_str,min_AM_drift,min_AM_wind,min_AM_defl,min_AM_hier,min_NM_str,min_NM_drift,min_NM_wind,min_NM_defl,min_NM_hier,hof_avg_cost,hof_max_cost,hof_min_cost,hof_std_cost,hof_avg_co2,hof_max_co2,hof_min_co2,hof_std_co2,hof_avg_dcr,hof_max_dcr,hof_min_dcr,hof_std_dcr,hof_size
34,534,[0.38247725 0.37288773],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.08864722 0.02445319],100.0,11.833333333333334,39393692.93160174,69122006.91076005,30144470.089440055,6917945.535697878,118305.93049815774,206400.44576239988,90512.3490968,20077.93078034028,0.33292474289711327,0.3926404487121648,0.23233005194368994,0.035190586030101126,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38027157.51285338,55338832.34552004,30144470.089440055,7157169.198008118,113277.71946896664,164740.63698239982,90512.3490968,20839.77591438777,0.3084196208728324,0.3747149575859705,0.23233005194368994,0.04339817174632263,12
35,499,[0.38463565 0.37223346],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.0884624  0.02450443],100.0,13.166666666666666,38830561.6079089,69122006.91076005,30144470.089440055,6806243.252344092,116673.42840963548,206400.44576239988,90101.45847680006,19785.723863494764,0.33544868603422817,0.39271479287206984,0.23233005194368994,0.03458335822442717,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38027157.51285338,55338832.34552004,30144470.089440055,7157169.198008118,113277.71946896664,164740.63698239982,90512.3490968,20839.77591438777,0.3084196208728324,0.3747149575859705,0.23233005194368994,0.04339817174632263,12
36,503,[0.38776384 0.3712429 ],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.08910076 0.0247642 ],100.0,14.000000000000002,38777449.550154336,69122006.91076005,30144470.089440055,6694130.331421402,116581.37876893338,206400.44576239988,90101.45847680006,19476.77807367887,0.335280670306055,0.39271479287206984,0.23233005194368994,0.033763996096069504,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37914916.62042338,55338832.34552004,30144470.089440055,7244558.867569882,113070.31314349997,164740.63698239982,90512.3490968,20998.325570245364,0.30803129550393527,0.3747149575859705,0.23233005194368994,0.04311990978722655,12
37,483,[0.3909001  0.37039932],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.08958451 0.02490766],100.0,15.0,38630343.49900226,69122006.91076005,30144470.089440055,6549336.03983413,116144.15681742672,206400.44576239988,90101.45847680006,19060.413341265332,0.3363755482545145,0.39271479287206984,0.23233005194368994,0.03309289267252149,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37354188.49074774,55338832.34552004,30144470.089440055,7226300.786561188,111505.62133344612,164740.63698239982,90512.3490968,20889.976898905326,0.31171519054969277,0.3747149575859705,0.23233005194368994,0.04334921554003652,13
38,507,[0.39440747 0.36944312],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.09001251 0.0251877 ],100.0,16.333333333333332,38406382.66806045,69122006.91076005,30144470.089440055,6545475.802117935,115509.16259910208,206400.44576239988,90101.45847680006,19095.526906492825,0.3375485344108168,0.39271479287206984,0.23233005194368994,0.03274765787033013,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36867555.348140046,55338832.34552004,30144470.089440055,7181087.512995728,110152.1963696857,164740.63698239982,90512.3490968,20713.116815539903,0.31570074000396214,0.3747149575859705,0.23233005194368994,0.04417498189304887,14
39,507,[0.39634809 0.36879094],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.09134294 0.02537359],100.0,18.0,38292478.98930819,69122006.91076005,29721774.533040065,6559533.2297798805,115209.67019493708,206400.44576239988,90101.45847680006,19148.343994690455,0.338565779453474,0.39271479287206984,0.23233005194368994,0.03214145029417267,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36837362.80839719,55338832.34552004,29721774.533040065,7210120.842951844,110131.05354911427,164740.63698239982,90216.34960880005,20733.294552320567,0.31557841398930286,0.3730023933807417,0.23233005194368994,0.044013470718194114,14
40,495,[0.39931328 0.36793384],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.09080351 0.02520399],100.0,19.5,38059111.03852313,69122006.91076005,29052025.895040065,6488103.553076488,114567.23259340516,206400.44576239988,88169.26068080001,18956.83771320142,0.3405529803743163,0.39271479287206984,0.23233005194368994,0.032190597171501724,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36318340.347506724,55338832.34552004,29052025.895040065,7231286.202377414,108666.93402455997,164740.63698239982,88169.26068080001,20765.89944783518,0.3205005856878633,0.3894109894677095,0.23233005194368994,0.04633819954320022,15
41,509,[0.40311793 0.36694353],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.08981071 0.02504813],100.0,20.666666666666668,37872335.83832425,69122006.91076005,29052025.895040065,6353901.575281476,114009.51884931294,206400.44576239988,88169.26068080001,18573.5211306544,0.3413577282777652,0.39271479287206984,0.23233005194368994,0.03171191525663637,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36318340.347506724,55338832.34552004,29052025.895040065,7231286.202377414,108666.93402455997,164740.63698239982,88169.26068080001,20765.89944783518,0.3205005856878633,0.3894109894677095,0.23233005194368994,0.04633819954320022,15
42,519,[0.40710833 0.36567594],[1.04089156 0.41467344],[0.32798276 0.23233005],[0.08845057 0.02496466],100.0,22.333333333333332,37614890.73653676,69122006.91076005,29052025.895040065,6269034.197291429,113223.52198100302,206400.44576239988,88169.26068080001,18379.707544185145,0.3423432319752389,0.39271479287206984,0.23233005194368994,0.03144654998208876,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,35602032.61373418,55338832.34552004,29052025.895040065,7073220.915106343,106510.20633025879,164740.63698239982,88169.26068080001,20382.99050950848,0.3271632193875419,0.3894109894677095,0.23233005194368994,0.047248338752141524,17
43,495,[0.40214767 0.36696116],[1.04089156 0.41467344],[0.32798276 0.23233005],[0.08664942 0.02433244],100.0,25.166666666666664,37087549.94491687,69122006.91076005,29052025.895040065,6253942.880409002,111627.36773709676,206400.44576239988,88169.26068080001,18390.24824581121,0.3454157560202839,0.39271479287206984,0.23233005194368994,0.031329985968429536,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,35573830.58233652,55338832.34552004,29052025.895040065,7093111.528107597,106540.4293644,164740.63698239982,88169.26068080001,20360.64744528316,0.32712950404369456,0.3894109894677095,0.23233005194368994,0.04721745103885083,17
44,529,[0.3963915  0.37020913],[1.04089156 0.4136922 ],[0.33285574 0.23233005],[0.08561968 0.02614887],100.0,36.833333333333336,35170126.33769852,69122006.91076005,29052025.895040065,6135426.89853088,105975.87618190594,206400.44576239988,88169.26068080001,18096.491887791064,0.35644086543245357,0.4038651960347965,0.23233005194368994,0.03237170508960679,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,35459081.46230829,55338832.34552004,29052025.895040065,7184594.850869447,106183.70614214118,164740.63698239982,88169.26068080001,20632.072741848497,0.3265134526485113,0.3894109894677095,0.23233005194368994,0.04658150421325297,17
45,492,[0.39374247 0.3731504 ],[1.04089156 0.42655756],[0.32901482 0.23233005],[0.08536852 0.02733684],100.0,53.666666666666664,33565639.277712725,69122006.91076005,28800012.144720044,5774016.141714224,101275.01204064541,206400.44576239988,87223.97162840002,17023.13246777631,0.36678143713237255,0.4096998535650897,0.23233005194368994,0.03176073498522349,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,35080168.78840228,55338832.34552004,28800012.144720044,7153977.1855255505,105083.12323022222,164740.63698239982,87234.112022,20551.365573781197,0.33091475330520403,0.4062212561193819,0.23233005194368994,0.048789575672402434,18
46,506,[0.39296305 0.37607796],[1.04089156 0.42729766],[0.33285574 0.23233005],[0.08421883 0.02846724],100.0,80.5,32339711.288709626,69122006.91076005,28604992.336080037,5129107.476957001,97706.418063304,206400.44576239988,86835.86744720001,15126.932792601576,0.3749817631913288,0.4272976581849159,0.23233005194368994,0.029607898291197605,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34482158.88794205,55338832.34552004,28604992.336080037,7030097.511494912,103557.59239131998,164740.63698239982,87210.03614679999,20063.515276874237,0.337434845378477,0.40678361288158943,0.23233005194368994,0.05088446113426503,20
47,509,[0.37883538 0.3817429 ],[1.04089156 0.42729766],[0.33484533 0.23233005],[0.08046457 0.02990245],100.0,100.0,31196928.57154526,69122006.91076005,28604992.336080037,4631891.085578136,94445.73989396173,206400.44576239988,86835.86744720001,13560.168984634707,0.3817428963203855,0.4272976581849159,0.23233005194368994,0.02990245278342025,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33837968.16097223,55338832.34552004,28604992.336080037,6762788.107925534,101847.00235961739,164740.63698239982,87210.03614679999,19218.22262473837,0.34119238059817253,0.4059955252474294,0.23233005194368994,0.048393348930058463,23
48,491,[0.36661235 0.38477394],[1.04089156 0.40746681],[0.33484533 0.23233005],[0.07174679 0.02822984],100.0,100.0,30470464.77075152,69122006.91076005,28604992.336080037,4159623.98939142,92452.91970403572,206400.44576239988,87210.03614679999,12004.515101816523,0.38477394067941967,0.4074668070120578,0.23233005194368994,0.028229840353156763,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33837968.16097223,55338832.34552004,28604992.336080037,6762788.107925534,101847.00235961739,164740.63698239982,87210.03614679999,19218.22262473837,0.3411695798374136,0.405790701299818,0.23233005194368994,0.04836763112127778,23
49,511,[0.36159794 0.38608024],[1.04089156 0.40678361],[0.33484533 0.23233005],[0.06436774 0.02688377],100.0,100.0,30177888.61142606,69122006.91076005,28604992.336080037,3740859.742489178,91620.00860547271,206400.44576239988,87210.03614679999,10746.341362066833,0.38608023521299145,0.40678361288158943,0.23233005194368994,0.026883766656211117,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33837968.16097223,55338832.34552004,28604992.336080037,6762788.107925534,101847.00235961739,164740.63698239982,87210.03614679999,19218.22262473837,0.3411695798374136,0.405790701299818,0.23233005194368994,0.04836763112127778,23
50,495,[0.35018268 0.39329208],[0.79733976 0.40607593],[0.33484533 0.23233005],[0.04921116 0.02446455],100.0,100.0,29512420.59656805,55338832.34552004,28604992.336080037,2886519.759244477,89722.2649621211,164740.63698239982,87210.03614679999,8138.398556554283,0.39329207520138226,0.40607593360889144,0.23233005194368994,0.0244645473445682,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33627499.57209506,55338832.34552004,28604992.336080037,6696888.211035366,101224.15407435001,164740.63698239982,87210.03614679999,19048.403530116375,0.3437699460902997,0.405790701299818,0.23233005194368994,0.048967790562696546,24
51,480,[0.34296227 0.40003164],[0.79733976 0.40599553],[0.33484533 0.23233005],[0.04155215 0.02146204],100.0,100.0,29080817.865936775,55338832.34552004,28604992.336080037,2444785.8516145786,88552.01177370053,164740.63698239982,87210.03614679999,6849.318244614606,0.40003164490567,0.4059955252474294,0.23233005194368994,0.021462044957655284,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33627499.57209506,55338832.34552004,28604992.336080037,6696888.211035366,101224.15407435001,164740.63698239982,87210.03614679999,19048.403530116375,0.3437699460902997,0.405790701299818,0.23233005194368994,0.048967790562696546,24
