gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
50,744,[0.42575899 0.34007129],[0.14667293 0.04552369],[0.33256133 0.17250589],9.444444444444445,47474464.21328612,143444.9871322683,0.2637135331208979,10
51,765,[0.42559233 0.33721913],[0.14573811 0.04338436],[0.33256133 0.17250589],9.777777777777779,47254146.96469727,142824.92115370007,0.2633716225106763,10
52,735,[0.42911269 0.33548805],[0.14512364 0.04263811],[0.33256133 0.17250589],10.11111111111111,47115448.634365276,142558.66637371428,0.2641255730919366,10
53,740,[0.42179063 0.33585038],[0.13987494 0.0398871 ],[0.34027602 0.17250589],10.333333333333334,47015560.01718752,142329.3465709084,0.2645348593287407,10
54,759,[0.4212999  0.33618564],[0.1408396  0.03959955],[0.34367931 0.17250589],10.888888888888888,46816640.317349374,141787.5340787396,0.2652399747885681,11
55,714,[0.425348   0.33498128],[0.14291648 0.04002325],[0.34367931 0.17250589],11.777777777777777,46581297.56120339,141231.027656763,0.2657502043104661,11
56,757,[0.4227383  0.33532302],[0.14175877 0.04013257],[0.34393073 0.17250589],12.333333333333334,46232094.239144124,140274.93529059534,0.2655201618855195,14
57,754,[0.42416977 0.33481175],[0.14200579 0.04035355],[0.34393073 0.17250589],12.666666666666668,46018308.159634374,139654.65519121476,0.26604162719583063,14
58,761,[0.42640105 0.33404329],[0.14263348 0.04065093],[0.34393073 0.17250589],13.111111111111112,45947227.52000169,139546.84881438036,0.26631339097790147,13
59,790,[0.42863404 0.33338874],[0.14331842 0.04089579],[0.34393073 0.17250589],13.666666666666666,45895628.84325885,139389.90004154213,0.266670538426147,13
60,761,[0.43171998 0.33248188],[0.14429521 0.04120614],[0.34393073 0.17250589],14.000000000000002,45975570.20574824,139662.00840417526,0.26641690537167756,13
61,734,[0.43519617 0.33155769],[0.14535253 0.04145544],[0.34393073 0.17250589],14.666666666666666,45936119.85962938,139692.21016760365,0.26666231340767604,13
62,755,[0.43808697 0.33081542],[0.14596415 0.04158868],[0.34393073 0.17250589],15.11111111111111,45651489.23558704,138849.79803128005,0.2677885942109656,14
63,771,[0.44116499 0.3300312 ],[0.14611825 0.04164507],[0.34393073 0.17250589],15.444444444444445,45432562.61176487,138191.0932144409,0.2683757263330793,14
64,754,[0.44490316 0.32885806],[0.14672513 0.04210632],[0.34393073 0.17250589],16.333333333333332,45150745.80513522,137353.72422893933,0.26907299173927,15
65,746,[0.44962796 0.32761932],[0.1472318  0.04224075],[0.34393073 0.17250589],16.88888888888889,44983881.9376134,136869.95277751368,0.2695455052188745,16
66,752,[0.4471516  0.32819614],[0.14667748 0.04223943],[0.34653361 0.17250589],17.444444444444446,44900614.62024508,136682.3926486018,0.2696145280545442,17
67,751,[0.44218105 0.32951902],[0.1456072  0.04219073],[0.35085177 0.17250589],17.77777777777778,44846142.903450474,136543.10678501302,0.26973774916355414,17
68,759,[0.44444181 0.32873647],[0.14634219 0.04216373],[0.35085177 0.17250589],18.444444444444443,44710559.37624456,136208.2996572487,0.26979742360076586,17
69,743,[0.43783954 0.330899  ],[0.14667836 0.04141089],[0.35085177 0.17250589],19.11111111111111,44681789.68050207,136185.86644294465,0.2701758555337394,17
70,779,[0.43936165 0.33030695],[0.14715754 0.04168881],[0.35085177 0.17250589],19.555555555555557,44677070.149679065,136152.1058072414,0.26990738749843696,17
71,732,[0.4435226  0.32907736],[0.14880152 0.04230421],[0.35085177 0.17250589],20.77777777777778,44585456.98659933,136050.62598313412,0.27086628125691925,18
72,781,[0.44521661 0.3285456 ],[0.14920771 0.04263221],[0.35085177 0.17250589],21.22222222222222,44534602.68831956,135966.09216847163,0.2706887712306149,18
