gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
20,486,[0.58918271 0.80074877],[1.18066317 0.99906664],[0.47691188 0.59341104],[0.0997118  0.07873723],100.0,100.0,75475232.08065079,67200423.71893167,0.016014975429353553,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.8281006892768747,67200423.71893167,0.011868220809231896,10
21,482,[0.57720994 0.79770205],[1.18066317 0.99906664],[0.44863554 0.59341104],[0.10148357 0.08014188],100.0,100.0,74598074.98214914,65580668.07090994,0.015954040923825318,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.877116829290834,65580668.07090994,0.011868220809231896,12
22,480,[0.56832165 0.78706817],[1.18066317 0.99906664],[0.4106668  0.59341104],[0.10471438 0.07537801],100.0,100.0,73955567.6299766,62519160.58457256,0.015741363369286134,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.9454370830463286,62519160.58457256,0.011868220809231896,10
23,482,[0.55564802 0.7847051 ],[1.18066317 0.99370107],[0.4106668  0.59341104],[0.10684378 0.07534785],100.0,100.0,73029341.685047,62519160.58457256,0.015694101998400815,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.947307110382326,62519160.58457256,0.011868220809231896,11
24,483,[0.54223212 0.77858311],[1.18066317 0.97261809],[0.4106668  0.59341104],[0.10804735 0.07357527],100.0,100.0,72060419.82379988,62519160.58457256,0.01557166212665067,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.9533356078577526,62519160.58457256,0.011868220809231896,10
25,490,[0.53010483 0.76923699],[1.18066317 0.99117236],[0.40642739 0.59341104],[0.10761014 0.07138132],100.0,100.0,71183661.77808478,62223909.15656924,0.015384739752763187,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.9602373102011716,62223909.15656924,0.011868220809231896,14
26,493,[0.51514416 0.76976931],[1.18066317 0.99117236],[0.39433552 0.41875249],[0.10789344 0.07794008],100.0,100.0,70100362.87470873,61355921.188485146,0.01539538610519353,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.351143547778551,61355921.188485146,0.00837504970136082,11
27,490,[0.50530397 0.76283926],[1.18066317 0.99989317],[0.38112398 0.41875249],[0.11064962 0.07418771],100.0,100.0,69372578.09586364,60117661.24394338,0.01525678525710153,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.3747962267048734,60117661.24394338,0.00837504970136082,10
28,485,[0.49598806 0.7634176 ],[1.18066317 0.99989317],[0.38112398 0.41875249],[0.11365414 0.07843727],100.0,100.0,68690371.02608058,60117661.24394338,0.01526835208776745,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.377017134928666,60117661.24394338,0.00837504970136082,10
29,485,[0.48929617 0.75628138],[1.18066317 0.99989317],[0.37212201 0.41875249],[0.11440525 0.07311176],100.0,100.0,68179721.08531824,59553920.02614706,0.015125627555477621,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.3918791062838825,59553920.02614706,0.00837504970136082,14
