gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
37,478,[0.30877973 0.47716532],[1.16105247 0.9092635 ],[0.14175532 0.30833753],[0.20326544 0.11664834],100.0,100.0,45786714.34239263,36056452.61476337,0.009543306424070704,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.127676421037873,36056452.61476337,0.006166750557251402,32
38,486,[0.30440129 0.48054455],[1.16105247 0.9092635 ],[0.13978978 0.30833753],[0.20496204 0.12206889],100.0,100.0,45526256.32603827,35836628.15741116,0.00961089090545212,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.132348088962186,35894193.18338928,0.006166750557251402,36
39,492,[0.30213809 0.47730252],[1.16105247 0.92412702],[0.13162409 0.30833753],[0.2062334  0.11712171],100.0,100.0,45382505.11385604,35615458.327895276,0.009546050467066561,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.146201657946504,35615458.327895276,0.006166750557251402,36
40,478,[0.2882264  0.49306443],[1.16105247 0.92412702],[0.13162409 0.30833753],[0.20684028 0.1290599 ],100.0,100.0,44557803.78083154,35615458.327895276,0.009861288528435808,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.147718711735012,35615458.327895276,0.006166750557251402,40
41,469,[0.26624216 0.50632201],[1.16105247 0.92412702],[0.1276198  0.30833753],[0.18661008 0.132749  ],100.0,100.0,43263728.905644014,35258936.55906666,0.01012644024608941,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.155415461489875,35258936.55906666,0.006166750557251402,37
42,491,[0.26649491 0.50203213],[1.16105247 0.92412702],[0.1276198  0.30833753],[0.18669107 0.13245279],100.0,100.0,43279207.62306473,35258936.55906666,0.010040642688248481,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.156575921996595,35258936.55906666,0.006166750557251402,33
43,481,[0.2633225 0.5000047],[1.16105247 0.93806215],[0.1276198  0.30833753],[0.18744773 0.12945263],100.0,100.0,43094682.28525938,35258936.55906666,0.010000093942882529,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.157191866164944,35258936.55906666,0.006166750557251402,33
44,477,[0.26145687 0.50251863],[1.16105247 0.92412702],[0.1276198  0.30833753],[0.18850296 0.12989714],100.0,100.0,42991095.46151665,35258936.55906666,0.010050372693258307,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.1575504460293375,35258936.55906666,0.006166750557251402,36
45,496,[0.26089553 0.5007296 ],[1.16105247 0.92819891],[0.12471587 0.30833753],[0.18886592 0.13082031],100.0,100.0,42964006.028893575,35094693.6852245,0.010014592097734941,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.163691908221443,35094693.6852245,0.006166750557251402,37
46,489,[0.25669016 0.5029002 ],[1.16105247 0.9371001 ],[0.12471587 0.30833753],[0.18806437 0.13152177],100.0,100.0,42724861.15692316,35094693.6852245,0.010058003968342869,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.164156209220667,35094693.6852245,0.006166750557251402,42
