name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
408,250,870,1000,530.8019298,624.4728586,0.007730424,0.003651378,817.4513285,13,100,21,400,61115.8793,171.323511,6.167379391,22,50,2,5,3,3,2
409,350,748,850,531.4195123,625.1994262,0.006997141,0.003435076,547.0998001,13,150,21,400,58913.71641,176.4278798,7.244979347,22,50,4,5,2,3,1
410,350,779,850,532.4341814,626.3931546,0.005018646,0.002388331,462.0924925,10,150,21,500,47712.11023,154.2795813,7.168300101,22,50,4,4,1,2,1
411,250,767,900,533.0039861,627.0635131,0.010519319,0.004616892,305.2653958,10,200,27,400,46655.12515,137.4409035,5.494144692,16,40,3,11,4,5,2
412,500,639,700,533.1211415,627.201343,0.005324612,0.002420026,437.464416,13,250,21,500,55895.19137,181.0145689,8.431735785,16,40,8,8,1,4,1
413,350,767,850,534.3051631,628.5943095,0.007377092,0.003167368,274.2541339,10,300,21,400,50068.89092,158.8066963,7.184793542,16,40,5,10,2,5,1
414,600,539,600,534.4419103,628.7551886,0.006486136,0.002760163,453.5357629,13,200,21,500,62870.53185,196.7999155,8.709515636,16,40,10,10,1,5,1
415,500,517,600,535.2283864,629.6804546,0.011075105,0.004695784,265.3528793,10,250,27,400,60312.90242,179.4440594,7.312739897,16,40,8,14,2,6,1
416,200,964,1150,536.7384724,631.4570264,0.008484378,0.003614869,302.370965,13,400,21,400,42516.55284,130.323527,5.580643174,22,50,1,5,5,2,2
417,500,529,600,536.7840688,631.5106692,0.0074833,0.003544505,327.6011501,10,200,27,500,52212.79611,163.5577599,7.256939986,22,50,7,5,1,3,1
418,200,842,1000,538.1886287,633.1630925,0.00808227,0.003795435,348.8659825,13,350,27,500,37495.58813,114.3745791,4.856291219,22,50,1,4,4,2,2
419,250,942,1050,538.9739248,634.0869703,0.005284464,0.00241096,258.2070837,10,450,21,500,38205.14649,128.3743372,6.298467635,16,40,3,7,3,3,1
420,400,617,700,539.3604815,634.5417429,0.007422149,0.003292975,305.6785023,10,250,27,500,47584.07102,150.3852872,6.765283654,16,40,6,9,2,4,1
421,400,729,800,543.2345874,639.0995145,0.004999377,0.002475951,596.4513299,10,100,21,500,54867.84153,173.0052997,7.734604063,22,50,5,4,1,2,1
422,200,1092,1200,543.5226472,639.4384085,0.005047419,0.002233197,285.9145904,10,400,21,500,35377.50568,118.2739469,5.761607555,16,40,2,6,3,3,2
423,500,614,700,544.6421773,640.7555027,0.008048072,0.003354427,501.8468456,13,150,21,400,69647.75924,208.176127,8.525960396,16,40,8,13,2,6,1
424,250,923,1050,545.0690334,641.2576864,0.006884441,0.003423421,349.6554191,1.00E+01,200,21,400,46263.16297,144.2960836,6.353657423,22,50,2,5,3,3,2
425,300,673,800,547.4104959,644.0123481,0.011151817,0.00498106,257.9954081,10,250,27,400,48947.73106,144.9439334,5.854939523,22,50,3,7,3,3,1
426,550,589,650,548.266952,645.0199435,0.005873186,0.002758389,420.1036303,13,250,21,500,58995.474,188.6255166,8.62551995,16,40,9,9,1,5,1
427,200,892,1050,549.5237637,646.4985455,0.007221284,0.003409747,411.8672049,13,300,27,500,38830.03374,119.0589347,5.095314739,22,50,1,4,4,2,2
428,450,567,650,550.5273038,647.679181,0.010726218,0.004310056,299.3210139,1.00E+01,200,27,400,59005.1001,175.3837789,7.131208308,16,40,7,14,2,6,1
429,250,939,1050,551.3563813,648.6545662,0.00551648,0.00236506,401.546284,13,350,21,500,42163.53802,136.2439222,6.325447967,16,40,3,7,3,3,1
430,450,579,650,553.4311422,651.0954614,0.007096932,0.003477075,339.7617654,10,200,27,500,50355.63477,158.3884976,7.0717096,22,50,6,5,1,3,1
431,200,951,1050,556.5490894,654.7636345,0.006651355,0.002675967,496.9953505,10,150,27,500,39215.94598,119.8515019,5.09787634,22,50,2,4,2,2,1
432,300,798,900,559.1392734,657.8109099,0.008337406,0.003454881,560.8150461,13,150,21,400,57427.9276,167.9307028,6.602433754,22,50,3,6,2,3,1
433,250,801,900,560.1824726,659.0382031,0.007575419,0.003047686,318.797369,10,250,27,500,39214.62485,122.7899463,5.443046881,22,50,2,4,2,2,1
434,600,526,600,560.5566518,659.4784139,0.008805613,0.004115461,599.6857172,1.30E+01,100,21,400,81324.18349,233.3042846,8.83579172,22,50,9,7,1,4,1
435,450,614,700,560.9503126,659.9415442,0.006748579,0.002934548,586.9502434,13,150,27,500,59741.95109,181.6012527,7.653074836,16,40,7,10,2,4,1
436,400,598,700,562.563516,661.8394306,0.010425409,0.004564801,393.486685,13,200,27,400,59638.10062,174.1838201,6.847893613,22,50,5,7,2,3,1
437,450,551,650,565.1076968,664.8325845,0.010629386,0.005204863,420.700882,10,100,27,400,65003.49011,187.302584,7.172110747,22,50,6,7,2,4,1
438,300,851,950,565.2174881,664.9617507,0.00549342,0.002428319,346.753598,10,250,21,500,43693.11784,143.7712026,6.85344004,22,50,3,4,2,2,1
439,200,901,1000,567.6682951,667.8450531,0.007393697,0.003519329,249.7265356,1.00E+01,400,27,500,34362.60477,108.1467048,4.834934858,22,50,2,4,2,2,1
440,250,989,1100,570.7388941,671.4575225,0.005094158,0.002203663,535.4469334,13,250,21,500,45939.43073,146.2771464,6.638628961,16,40,3,7,3,3,1
441,400,648,750,572.86151,673.9547176,0.008640923,0.003886549,512.3974332,13,150,27,400,62428.14164,183.81998,7.326694246,22,50,5,6,2,3,1
