Parameter,Obj1_NormCostCO2,Obj2_MeanDCR,Cost,CO2,Mean_DCR
0.4,0.5984674796686876,0.17157053736925496,64214654.46356008,183299.40380520027,0.17157053736925496
0.4,0.6369644442202893,0.1568530825495311,66875510.548799984,188470.70727880028,0.1568530825495311
0.5,0.09313369945735961,0.28982750018617176,34403202.74708,102065.5260359999,0.28982750018617176
0.5,0.09791264426897972,0.2798202288272327,34600761.874080025,103053.92639099993,0.2798202288272327
0.5,0.10190388908248445,0.2790435657457314,34847479.87868001,103666.14551999992,0.2790435657457314
0.5,0.10549822425468547,0.27368458543349267,35124051.93552002,104075.54624219995,0.27368458543349267
0.5,0.10668283389410456,0.2688364588109393,35045039.00568004,104654.54587499995,0.2688364588109393
0.5,0.11378890294855279,0.26614524317542,35480176.04892001,105755.30964799991,0.26614524317542
0.5,0.12065125229431675,0.22822285897168024,35743889.65008,107226.72902799991,0.22822285897168024
0.5,0.12065125229431675,0.22822285897168024,35743889.65008,107226.72902799991,0.22822285897168024
0.5,0.12464249710782149,0.2230114024487968,35990607.65467999,107838.9481569999,0.2230114024487968
0.5,0.12823683228002258,0.22229372789678337,36267179.71152001,108248.34887919994,0.22229372789678337
0.5,0.12942144191944166,0.22048192854313053,36188166.781680025,108827.34851199994,0.22048192854313053
0.5,0.12942144191944166,0.22048192854313053,36188166.781680025,108827.34851199994,0.22048192854313053
0.5,0.12942144191944166,0.22048192854313053,36188166.781680025,108827.34851199994,0.22048192854313053
0.5,0.129895528999611,0.22018002375641346,36373849.24168003,108491.97974200004,0.22018002375641346
0.5,0.129895528999611,0.22018002375641346,36373849.24168003,108491.97974200004,0.22018002375641346
0.5,0.13193410261699268,0.21903749479344686,36439254.503280036,108962.84540799988,0.21903749479344686
0.5,0.13700702190514746,0.21450894904827378,36711456.84312003,109848.96836319997,0.21450894904827378
0.5,0.14438167196096985,0.21412142652055924,37288191.36648004,110664.73590879992,0.21412142652055924
