Parameter,Obj1_NormCostCO2,Obj2_MaxDrift,Cost,CO2,Max_Drift,Hypervolume
300,0.29322930889078747,0.05188662729257135,45600037.03411082,135816.90270488968,0.05188662729257135,5.640459770043976
300,0.3360630999890569,0.048196588648847995,48106634.571522735,142755.59121515043,0.048196588648847995,5.640459770043976
400,0.1821220137878708,0.10053730908952334,39571198.330328606,116583.98075453429,0.10053730908952334,5.674710910067839
400,0.184345811262087,0.10042707536794618,39652067.9835314,117072.78073173633,0.10042707536794618,5.674710910067839
400,0.18616920255414937,0.1001771416406229,39752333.45349292,117384.9542791589,0.1001771416406229,5.674710910067839
400,0.18839300002836568,0.10004606078031841,39833203.10669571,117873.75425636096,0.10004606078031841,5.674710910067839
400,0.1907547134874932,0.09931740672832372,40019566.730264686,118130.65459289937,0.09931740672832372,5.674710910067839
400,0.1921743836747568,0.09326206922328278,40067348.88432164,118452.73802909227,0.09326206922328278,5.674710910067839
400,0.19281903731426508,0.08672391109957774,40161878.73884848,118408.92412683932,0.08672391109957774,5.674710910067839
400,0.19618492842356672,0.08498367186208165,40295815.94288409,119118.6595801835,0.08498367186208165,5.674710910067839
400,0.19923183028909586,0.08498168282994648,40504277.86608425,119533.52370847939,0.08498168282994648,5.674710910067839
400,0.2002321171898454,0.08494430179718354,40476951.0660484,119919.63310480813,0.08494430179718354,5.674710910067839
400,0.2022335269598476,0.08431783144073574,40685567.785271965,120005.07098870222,0.08431783144073574,5.674710910067839
400,0.2028714072011511,0.08065282952181575,40658029.29284151,120277.6814013973,0.08065282952181575,5.674710910067839
400,0.20489348730466428,0.07915950173066792,40846105.321887545,120423.22841550372,0.07915950173066792,5.674710910067839
400,0.20623729831045273,0.07904981793357933,40791966.49687712,120987.41685474149,0.07904981793357933,5.674710910067839
400,0.20928420017598187,0.07904795164992291,41000428.42007728,121402.28098303737,0.07904795164992291,5.674710910067839
400,0.21028619000369123,0.07397286795964016,41191850.95630302,121218.06659285715,0.07397286795964016,5.674710910067839
400,0.21169901688341985,0.0738940948249336,41362324.974876605,121217.81329569734,0.0738940948249336,5.674710910067839
400,0.21293055048624182,0.07331380551167592,41276248.19379183,121830.01436100726,0.07331380551167592,5.674710910067839
400,0.21315052163426668,0.07201553486904481,41194466.69578738,122112.66180036831,0.07201553486904481,5.674710910067839
400,0.22033855989057727,0.06777449082874219,41688001.510296054,123086.82386741514,0.06777449082874219,5.674710910067839
400,0.23181053005539648,0.06258544851592511,42476694.42981994,124638.90352986527,0.06258544851592511,5.674710910067839
400,0.2418628999422825,0.062020810545078645,42972844.98381297,126507.66080442326,0.062020810545078645,5.674710910067839
400,0.24623216072683984,0.06104818196102429,43269818.14989108,127107.69520186694,0.06104818196102429,5.674710910067839
400,0.25441356856231195,0.060711140545412406,43743034.18614823,128447.50124485405,0.060711140545412406,5.674710910067839
